Week,Thousand Barrels p/Day
"Apr 17, 2009",9136
"Apr 24, 2009",9151
"May 01, 2009",8923
"May 08, 2009",8911
"May 15, 2009",9232
"May 22, 2009",9538
"May 29, 2009",9020
"Jun 05, 2009",9141
"Jun 12, 2009",9354
"Jun 19, 2009",9129
"Jun 26, 2009",9053
"Jul 03, 2009",9229
"Jul 10, 2009",9163
"Jul 17, 2009",9255
"Jul 24, 2009",9171
"Jul 31, 2009",9199
"Aug 07, 2009",8951
"Aug 14, 2009",9205
"Aug 21, 2009",9105
"Aug 28, 2009",9478
"Sep 04, 2009",9283
"Sep 11, 2009",9001
"Sep 18, 2009",8790
"Sep 25, 2009",9126
"Oct 02, 2009",9269
"Oct 09, 2009",9256
"Oct 16, 2009",8950
"Oct 23, 2009",8858
"Oct 30, 2009",9015
"Nov 06, 2009",8844
"Nov 13, 2009",9015
"Nov 20, 2009",9092
"Nov 27, 2009",8943
"Dec 04, 2009",9012
"Dec 11, 2009",8963
"Dec 18, 2009",9045
"Dec 25, 2009",9074
"Jan 01, 2010",8741
"Jan 08, 2010",8740
"Jan 15, 2010",8602
"Jan 22, 2010",8619
"Jan 29, 2010",8613
"Feb 05, 2010",8766
"Feb 12, 2010",8521
"Feb 19, 2010",9064
"Feb 26, 2010",8882
"Mar 05, 2010",8992
"Mar 12, 2010",8849
"Mar 19, 2010",9087
"Mar 26, 2010",9060
"Apr 02, 2010",9076
"Apr 09, 2010",9325
"Apr 16, 2010",9152
"Apr 23, 2010",9290
"Apr 30, 2010",9282
"May 07, 2010",9140
"May 14, 2010",9092
